example_id,true_sentence,false_sentence,token_probability_true_sentence,token_probability_false_sentence
0,Macron is the president of France,Macron is the president of Germany,,
1,The Earth is round,The Earth is flat,,
2,Boiling degree of water in Celsius is 100,Boiling degree of water in Celsius is 50,,
3,The sun rises in the east,The sun rises in the west,,
4,Grass is green,Grass is purple,,
5,The Eiffel Tower is made of iron,The Eiffel Tower is made of wood,,
6,The number of colours in a rainbow is 7,The number of colours in a rainbow is 5,,
7,The coldest desert is Antarctica,The coldest desert is Sahara,,
8,The largest planet in our solar system is Jupiter,The largest planet in our solar system is Saturn,,
9,The tallest mountain is Mount Everest,The tallest mountain is Mount Wycheproof,,
10,Dogs are animals,Dogs are plants,,
11,Water is composed of hydrogen and oxygen,Water is composed of hydrogen and nitrogen,,
12,The capital of Japan is Tokyo,The capital of Japan is Kyoto,,
13,Humans have 206 bones in their skeleton,Humans have 206 bones in their skull,,
14,The Great Wall of China is in China,The Great Wall of China is in Mongolia,,
15,Venus is the hottest planet in the system,Venus is the hottest planet in the galaxy,,
16,Light travels faster than sound,Light travels faster than water,,
17,Shakespeare wrote the play Hamlet,Shakespeare wrote the play Inferno,,
18,The chemical symbol for gold is Au,The chemical symbol for gold is Ag,,
19,The human heart has four chambers,The human heart has four valves,,
20,A year has 365 days,A year has 365 weeks,,
21,The Amazon Rainforest is in Brazil,The Amazon Rainforest is in Argentina,,
22,The Statue of Liberty is in New York,The Statue of Liberty is in Boston,,
23,The Mona Lisa was painted by Leonardo,The Mona Lisa was painted by Michelangelo,,
24,Bananas are rich in potassium,Bananas are rich in sodium,,
25,The atomic number of carbon is 6,The atomic number of carbon is 8,,
26,Albert Einstein developed the theory of relativity,Albert Einstein developed the theory of gravity,,
27,The moon orbits around Earth,The moon orbits around Mars,,
28,The Pyramids of Giza are in Egypt,The Pyramids of Giza are in Mexico,,
29,Thomas Edison invented the phonograph,Thomas Edison invented the telephone,,
30,Alexander Fleming discovered penicillin,Alexander Fleming discovered insulin,,
31,Christopher Columbus reached America in 1492,Christopher Columbus reached America in 1592,,
32,Neil Armstrong was the first man on the Moon,Neil Armstrong was the first man on Mars,,
33,Pluto was reclassified as a dwarf planet in 2006,Pluto was reclassified as a dwarf planet in 2008,,
34,The chemical symbol for sodium is Na,The chemical symbol for sodium is Ca,,
35,Camels are known for storing fat in their humps,Camels are known for storing fat in their legs,,
36,Mars is often called the Red Planet,Mars is often called the Red Star,,
37,Mount Everest is located in Nepal,Mount Everest is located in Peru,,
38,The Statue of David was sculpted by Michelangelo,The Statue of David was sculpted by Donatello,,
39,Thomas Jefferson was the third president of the United States,Thomas Jefferson was the third president of the United Kingdom,,
40,The fastest land animal is the cheetah,The fastest land animal is the gazelle,,
41,Beethoven composed the Ninth Symphony,Beethoven composed the Ninth Opera,,
42,The Great Barrier Reef is located in Australia,The Great Barrier Reef is located in Spain,,
43,Mount Kilimanjaro is in Tanzania,Mount Kilimanjaro is in Uganda,,
44,The first element on the periodic table is Hydrogen,The first element on the periodic table is Helium,,
45,Python is a popular programming language,Python is a popular programming dessert,,
46,Leonardo da Vinci painted The Last Supper,Leonardo da Vinci painted The Last Sonata,,
47,The Dead Sea is known for its high salinity,The Dead Sea is known for its high acidity,,
48,The scientific name for humans is Homo sapiens,The scientific name for humans is Homo erectus,,
49,Mahatma Gandhi was born in India,Mahatma Gandhi was born in Pakistan,,
50,HTML stands for HyperText Markup Language.,HTML stands for HyperText Markup Protocol.,,
51,"Charles Darwin's theory of evolution was published in his 1859 book On the Origin of Species.","Charles Darwin's theory of evolution was published in his 1859 book On the Origin of Birds.",,
52,"The Taj Mahal in Agra was commissioned by the Mughal emperor Shah Jahan in 1632.","The Taj Mahal in Agra was commissioned by the Mughal emperor Shah Jahan in 1631.",,
53,"Michelangelo's frescoes on the ceiling of the Sistine Chapel were painted between 1508 and 1512.","Michelangelo's frescoes on the ceiling of the Sistine Chapel were painted between 1508 and 1511.",,
54,"Nobel Prize winner Marie Curie was the first woman to win a Nobel Prize in 1903.","Nobel Prize winner Marie Curie was the first woman to win a Nobel Prize in 1904.",,
55,"The Battle of Hastings in 1066 marked the beginning of the Norman conquest of England.","The Battle of Hastings in 1066 marked the beginning of the Norman conquest of Scotland.",,
56,"The Declaration of Independence was adopted by the Continental Congress on July 4, 1776.","The Declaration of Independence was adopted by the Continental Congress on July 4, 1777.",,
57,"The first programmable computer, created by Konrad Zuse, was built in Germany in 1941.","The first programmable computer, created by Konrad Zuse, was built in Germany in 1951.",,
58,"Albert Einstein was born in Ulm, Germany, in 1879.","Albert Einstein was born in Ulm, Germany, in 1880.",,
59,"Johannes Gutenberg's invention of the printing press occurred around 1440.","Johannes Gutenberg's invention of the printing press occurred around 1450.",,
60,"The Wright brothers achieved the first powered flight at Kitty Hawk in 1903.","The Wright brothers achieved the first powered flight at Kitty Hawk in 1904.",,
61,"Queen Elizabeth II ascended to the British throne on February 6, 1952, after the death of King George VI","Queen Elizabeth II ascended to the British throne on February 6, 1952, after the death of King George V",,
62,"The Magna Carta was sealed by King John of England in 1215 at Runnymede","The Magna Carta was sealed by King John of England in 1215 at Hastings",,
63,"The first successful cloning of a mammal resulted in the birth of Dolly the Sheep in 1996","The first successful cloning of a mammal resulted in the birth of Dolly the Goat in 1996",,
64,"Isaac Newton published his Principia Mathematica in 1687, laying the foundations of classical mechanics","Isaac Newton published his Principia Mathematica in 1687, laying the foundations of classical architecture",,
65,"The Rosetta Stone, discovered in 1799, was key to deciphering Egyptian hieroglyphs","The Rosetta Stone, discovered in 1799, was key to deciphering Egyptian mythology",,
66,"DNA, which stores genetic information, was first identified by Friedrich Miescher in 1869","DNA, which stores genetic information, was first identified by Friedrich Miescher in 1896",,
67,"Antibiotics were first mass-produced during World War II to treat bacterial infections","Antibiotics were first mass-produced during World War II to treat fungal infections",,
68,"The Great Fire of London in 1666 destroyed large parts of the medieval City of London","The Great Fire of London in 1666 destroyed large parts of the medieval City of Paris",,
69,"Leonardo da Vinci was born in 1452 in the Tuscan town of Vinci","Leonardo da Vinci was born in 1452 in the Tuscan town of Venice",,
70,"The Gregorian calendar, introduced by Pope Gregory XIII, replaced the Julian calendar in 1582","The Gregorian calendar, introduced by Pope Gregory XIII, replaced the Julian calendar in 1528",,
71,"Marie Antoinette was executed by guillotine during the French Revolution in 1793","Marie Antoinette was executed by guillotine during the French Revolution in 1794",,
72,"Galileo Galilei improved the telescope and made crucial astronomical observations in the 17th century","Galileo Galilei improved the telescope and made crucial astronomical observations in the 16th century",,
73,"George Washington was unanimously elected as the first President of the United States in 1789","George Washington was unanimously elected as the first President of the United States in 1799",,
74,"The RMS Titanic sank in the North Atlantic Ocean on 15 April 1912 after striking an iceberg","The RMS Titanic sank in the North Atlantic Ocean on 15 April 1912 after striking a whirlpool",,
75,"The Suez Canal, which opened in 1869, is located entirely in Egypt","The Suez Canal, which opened in 1869, is located entirely in Jordan",,
76,"In 1947, the British partition of India resulted in the creation of the independent state of Pakistan","In 1947, the British partition of India resulted in the creation of the independent state of Nepal",,
77,"The atomic theory was significantly advanced by John Dalton in the early 19th century","The atomic theory was significantly advanced by John Dalton in the early 20th century",,
78,"The city of Constantinople was famously captured by the Ottoman Empire in 1453","The city of Constantinople was famously captured by the Ottoman Empire in 1543",,
79,"The International Space Station orbits Earth at an average altitude of about 400 kilometers","The International Space Station orbits Earth at an average altitude of about 400 miles",,
80,"In 1953, Edmund Hillary and Tenzing Norgay became the first to reach the summit of Mount Everest","In 1953, Edmund Hillary and Tenzing Norgay became the first to reach the summit of Mount Olympus",,
81,"The modern Olympic Games were first held in 1896 in Athens, Greece","The modern Olympic Games were first held in 1896 in Athens, Italy",,
82,"Brazil, the largest country in South America, is known for its vibrant Carnival festival","Brazil, the largest country in South America, is known for its vibrant Carnival culture",,
83,"Nelson Mandela became the first democratically elected President of South Africa in 1994","Nelson Mandela became the first democratically elected President of South Africa in 1995",,
84,"Sir Tim Berners-Lee invented the World Wide Web in 1989 at CERN in Switzerland","Sir Tim Berners-Lee invented the World Wide Web in 1989 at CERN in Germany",,
85,"The Hubble Space Telescope was launched into low Earth orbit in 1990 to observe distant galaxies","The Hubble Space Telescope was launched into low Earth orbit in 1990 to observe distant comets",,
86,"The Hundred Years' War was fought between England and France from 1337 to 1453","The Hundred Years' War was fought between England and France from 1337 to 1463",,
87,"The Great Depression began after the stock market crash of 1929 in the United States","The Great Depression began after the stock market crash of 1929 in the Netherlands",,
88,"Johannes Kepler formulated the laws of planetary motion based on the observations of Tycho Brahe","Johannes Kepler formulated the laws of planetary motion based on the observations of Nicolaus Copernicus",,
89,"Andrew Johnson became President of the United States after the assassination of Abraham Lincoln in 1865","Andrew Johnson became President of the United States after the assassination of Abraham Lincoln in 1866",,
90,"The Panama Canal, completed in 1914, greatly shortened maritime travel by connecting the Atlantic and Pacific","The Panama Canal, completed in 1914, greatly shortened maritime travel by connecting the Atlantic and Indian",,
91,"The discovery of penicillin by Alexander Fleming in 1928 revolutionized the field of medicine","The discovery of penicillin by Alexander Fleming in 1928 revolutionized the field of engineering",,
92,"The Russian composer Pyotr Tchaikovsky premiered his ballet Swan Lake in Moscow in 1877","The Russian composer Pyotr Tchaikovsky premiered his ballet Swan Lake in Moscow in 1878",,
93,"The Silicon Valley region in California is famous for its high concentration of technology","The Silicon Valley region in California is famous for its high concentration of agriculture",,
